year,cbsa_code,cbsa_title,total_population,median_age,median_household_income,per_capita_income,total_housing_units,owner_occupied_units,renter_occupied_units,homeownership_rate,median_home_value,median_gross_rent,rent_as_pct_of_income,population_yoy,income_yoy
2018,10740,"Albuquerque, NM Metro Area",910012,37.9,51998,28342,387356,233231,115919,66.80,186300,873,31.3,0.55,2.40
2017,10740,"Albuquerque, NM Metro Area",905049,37.7,50781,27388,385146,231628,113771,67.06,181300,850,31.7,0.06,2.15
2016,10740,"Albuquerque, NM Metro Area",904486,37.4,49711,26569,380218,229035,114233,66.72,177900,830,31.8,0.19,2.51
2015,10740,"Albuquerque, NM Metro Area",902731,37.1,48495,25992,378660,228559,114875,66.55,177100,814,32.1,0.40,-0.78
2014,10740,"Albuquerque, NM Metro Area",899137,36.9,48875,26144,377475,229093,115075,66.56,177100,811,31.6,0.66,-0.94
2013,10740,"Albuquerque, NM Metro Area",893241,36.7,49339,26068,375449,230331,112500,67.18,179100,801,30.9,0.85,0.71
2012,10740,"Albuquerque, NM Metro Area",885683,36.5,48990,26068,374357,231641,111704,67.47,182100,773,30.5,1.15,0.67
2011,10740,"Albuquerque, NM Metro Area",875617,36.3,48663,25902,371941,231948,108718,68.09,183800,748,30.1,1.56,1.16
2010,10740,"Albuquerque, NM Metro Area",862165,36.2,48107,25415,367757,229939,106770,68.29,180800,723,29.6,,
2023,10760,"Alexander City, AL Micro Area",41070,45.4,57185,31718,22967,12511,4037,75.60,144800,734,25.4,-20.38,7.79
2022,10760,"Alexander City, AL Micro Area",51580,46.5,53054,29545,28822,15658,4779,76.62,122900,698,25.4,-0.28,5.23
2021,10760,"Alexander City, AL Micro Area",51726,46.3,50417,27031,28667,15581,4623,77.12,109200,663,26.0,1.13,6.79
2020,10760,"Alexander City, AL Micro Area",51146,45.9,47213,25524,29180,15504,4871,76.09,104200,636,28.4,-0.30,7.45
2019,10760,"Alexander City, AL Micro Area",51298,45.7,43941,24898,29006,15326,4911,75.73,103300,655,29.9,26.24,1.34
2018,10760,"Alexander City, AL Micro Area",40636,43.7,43361,23655,22310,11982,4466,72.85,107800,648,32.1,-0.29,2.80
2017,10760,"Alexander City, AL Micro Area",40756,43.3,42181,22430,22258,11763,4606,71.86,107000,614,31.7,-0.49,7.07
2016,10760,"Alexander City, AL Micro Area",40958,43.0,39395,21410,22058,11571,4767,70.82,105200,565,32.3,,
2012,10760,"Alexander City, AL Micro Area",52839,42.4,38300,21020,28512,15628,5284,74.73,87800,579,30.3,-0.15,-1.58
2011,10760,"Alexander City, AL Micro Area",52917,41.9,38914,22188,28477,16000,5071,75.93,89700,551,29.1,-0.16,6.65
2010,10760,"Alexander City, AL Micro Area",53004,41.7,36488,21820,28385,15750,5093,75.56,84300,494,28.8,,
2023,10780,"Alexandria, LA Metro Area",150593,37.9,56492,30898,67375,37678,18177,67.46,173600,935,30.9,-0.74,1.51
2022,10780,"Alexandria, LA Metro Area",151721,37.7,55650,30142,67099,37488,17775,67.84,166300,922,30.5,-0.64,11.29
2021,10780,"Alexandria, LA Metro Area",152695,37.7,50005,27160,66885,36592,18636,66.26,151300,836,31.5,-0.01,3.54
2020,10780,"Alexandria, LA Metro Area",152715,37.7,48294,26843,67994,36880,19249,65.71,144500,814,32.6,-0.39,4.16
2019,10780,"Alexandria, LA Metro Area",153310,37.6,46367,24937,67491,34725,20752,62.59,136200,809,31.3,-0.38,4.95
2018,10780,"Alexandria, LA Metro Area",153894,37.5,44182,23549,67084,33926,21063,61.70,133100,792,32.3,-0.32,4.51
2017,10780,"Alexandria, LA Metro Area",154385,37.3,42275,22767,66716,34291,21012,62.01,128700,773,32.1,-0.23,1.05
2016,10780,"Alexandria, LA Metro Area",154745,37.4,41836,22250,66019,34997,20443,63.13,123300,749,31.4,0.10,3.07
2015,10780,"Alexandria, LA Metro Area",154587,37.4,40591,21138,65722,35375,19496,64.47,120100,733,31.6,0.02,-1.07
2014,10780,"Alexandria, LA Metro Area",154562,37.3,41032,21572,65406,36475,18433,66.43,115900,726,31.9,0.27,0.81
2013,10780,"Alexandria, LA Metro Area",154147,37.3,40703,21680,64934,37170,17776,67.65,114300,702,31.8,0.29,0.19
2012,10780,"Alexandria, LA Metro Area",153704,37.4,40625,21564,64761,37405,17410,68.24,112100,695,31.8,0.36,0.55
2011,10780,"Alexandria, LA Metro Area",153146,37.2,40402,21454,64397,37564,17085,68.74,108800,687,32.4,0.44,-0.42
2010,10780,"Alexandria, LA Metro Area",152475,36.9,40571,21492,64070,38325,17209,69.01,106100,680,32.0,,
2023,10820,"Alexandria, MN Micro Area",39354,44.3,77264,43543,22087,13312,4104,76.44,291700,896,24.6,0.70,6.61
2022,10820,"Alexandria, MN Micro Area",39081,44.2,72472,41889,21881,13060,4192,75.70,277800,847,24.6,0.88,4.93
2021,10820,"Alexandria, MN Micro Area",38742,43.7,69069,38288,21640,12678,4352,74.45,250400,776,26.8,2.44,5.56
2020,10820,"Alexandria, MN Micro Area",37820,44.3,65430,36559,21340,12430,4380,73.94,226500,710,28.1,0.82,2.52
2019,10820,"Alexandria, MN Micro Area",37513,44.2,63819,36535,21152,12380,4283,74.30,214800,733,28.7,0.83,5.18
2018,10820,"Alexandria, MN Micro Area",37203,44.1,60676,34547,20942,12168,4227,74.22,209800,744,29.2,0.85,3.42
2017,10820,"Alexandria, MN Micro Area",36891,44.3,58667,33336,20769,12149,4026,75.11,197200,737,29.7,0.08,4.12
2016,10820,"Alexandria, MN Micro Area",36862,44.4,56347,31640,20514,12080,3608,77.00,189900,723,28.8,0.66,3.33
2015,10820,"Alexandria, MN Micro Area",36620,44.1,54531,29953,20396,11872,3687,76.30,188400,730,28.5,0.57,3.90
2014,10820,"Alexandria, MN Micro Area",36413,44.1,52485,28755,20265,11922,3717,76.23,189800,685,30.4,0.41,3.10
2013,10820,"Alexandria, MN Micro Area",36264,43.9,50905,27716,20090,12017,3740,76.26,187300,646,30.1,0.27,1.07
2012,10820,"Alexandria, MN Micro Area",36167,43.6,50365,26778,20006,11971,3948,75.20,190500,623,28.6,0.32,3.98
2011,10820,"Alexandria, MN Micro Area",36051,43.2,48436,26301,19841,12245,3977,75.48,188100,592,28.8,0.40,3.52
2010,10820,"Alexandria, MN Micro Area",35909,42.9,46789,25633,19771,12233,3837,76.12,182600,590,29.8,,
2023,10860,"Alice, TX Micro Area",45850,35.7,45939,25450,20063,10504,5678,64.91,99300,834,32.8,-6.47,-2.09
2022,10860,"Alice, TX Micro Area",49020,35.5,46922,24335,20655,10836,4970,68.56,89200,852,29.5,-0.37,0.60
2021,10860,"Alice, TX Micro Area",49204,35.9,46641,22638,20714,11082,4595,70.69,77500,776,28.5,-5.36,2.06
2020,10860,"Alice, TX Micro Area",51990,35.3,45699,21265,22000,11531,4800,70.61,73700,759,25.5,-0.48,10.22
2019,10860,"Alice, TX Micro Area",52240,34.9,41461,20675,21946,11468,5030,69.51,71600,692,30.3,26.82,-1.30
2018,10860,"Alice, TX Micro Area",41192,34.8,42005,21274,16354,8916,4127,68.36,76300,730,32.6,-0.30,2.19
2017,10860,"Alice, TX Micro Area",41318,34.5,41103,20631,16316,9447,4167,69.39,73800,742,32.6,-0.40,-5.12
2016,10860,"Alice, TX Micro Area",41486,34.2,43321,21556,16232,9468,4089,69.84,73300,721,29.7,0.06,0.78
2015,10860,"Alice, TX Micro Area",41461,34.6,42986,21798,16206,9448,4381,68.32,70100,711,28.8,0.27,1.23
2014,10860,"Alice, TX Micro Area",41348,34.2,42463,20977,16199,9607,3881,71.23,67400,727,26.4,0.32,4.63
2013,10860,"Alice, TX Micro Area",41217,34.2,40585,20452,16117,9979,3749,72.69,69000,698,28.4,0.49,-0.34
2012,10860,"Alice, TX Micro Area",41014,34.5,40723,19818,16124,9851,3664,72.89,67800,683,27.6,0.47,8.85
2011,10860,"Alice, TX Micro Area",40821,34.1,37413,18268,16072,9994,3547,73.81,68300,682,30.5,0.47,1.06
2010,10860,"Alice, TX Micro Area",40631,33.9,37020,16976,15993,9854,3587,73.31,67800,645,31.9,,
2012,10880,"Allegan, MI Micro Area",111589,39.0,51030,23719,49388,34524,7434,82.28,142400,712,28.5,0.17,-0.39
2011,10880,"Allegan, MI Micro Area",111405,38.4,51232,23395,49250,34698,7216,82.78,147600,686,27.8,0.02,1.97
2010,10880,"Allegan, MI Micro Area",111385,38.1,50240,23108,49049,35006,7072,83.19,149400,645,27.7,,
2023,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",866764,41.4,82602,43319,360133,234260,102717,69.52,277800,1309,30.7,0.42,5.10
2022,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",863166,41.2,78597,41178,358340,230151,103425,69.00,258000,1246,30.3,0.60,7.53
2021,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",857997,41.2,73091,37945,356639,228230,102854,68.93,227900,1141,30.0,1.99,4.76
2020,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",841265,41.3,69769,36053,350620,223468,100771,68.92,219200,1090,29.7,0.44,3.13
2019,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",837610,41.4,67652,34637,349572,220430,100099,68.77,213800,1066,30.4,0.36,4.28
2018,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",834615,41.3,64877,33227,348609,220978,98242,69.22,207200,1031,30.7,0.22,3.84
2017,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",832790,41.3,62479,31939,347649,220705,97724,69.31,202800,990,31.2,0.25,3.37
2016,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",830737,41.3,60441,30579,344453,219334,96115,69.53,200000,961,31.4,0.30,2.97
2015,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",828232,41.2,58699,29675,343976,220521,93784,70.16,199800,941,31.8,0.24,0.03
2014,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",826260,41.0,58681,29397,343357,221920,91866,70.72,202900,934,32.3,0.31,1.48
2013,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",823731,40.8,57823,28907,342414,223186,89658,71.34,207000,919,31.8,0.30,-0.50
2012,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",821273,40.5,58111,28931,341917,225570,87868,71.97,213400,894,31.3,0.48,0.10
2011,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",817323,40.3,58054,28727,340837,227179,85912,72.56,216800,863,30.7,0.65,2.01
2010,10900,"Allentown-Bethlehem-Easton, PA-NJ Metro Area",812027,40.1,56908,28104,338833,228340,84180,73.06,215200,828,30.3,,
2023,10940,"Alma, MI Micro Area",41478,39.7,61128,29558,16051,11442,3069,78.85,136800,808,30.2,-0.13,5.51
2022,10940,"Alma, MI Micro Area",41534,39.6,57934,28123,16060,11497,3208,78.18,126500,757,30.3,-0.54,8.60
2021,10940,"Alma, MI Micro Area",41758,39.9,53347,25651,16057,11446,3413,77.03,105700,685,29.5,2.62,7.13
2020,10940,"Alma, MI Micro Area",40692,40.0,49795,24623,16331,11450,3634,75.91,97600,688,29.2,-0.55,4.07
2019,10940,"Alma, MI Micro Area",40916,39.5,47848,23616,16330,11172,3863,74.31,95400,687,30.5,-0.37,6.35
2018,10940,"Alma, MI Micro Area",41067,39.2,44991,22027,16320,11042,4135,72.75,94300,667,33.0,-0.61,6.47
2017,10940,"Alma, MI Micro Area",41319,39.0,42256,20597,16296,10718,4018,72.73,92100,658,32.4,-0.86,0.26
2016,10940,"Alma, MI Micro Area",41676,39.2,42145,20358,16223,10836,3885,73.61,89000,628,32.3,-0.48,0.56
2015,10940,"Alma, MI Micro Area",41878,38.9,41912,19618,16258,10852,3864,73.74,88900,607,32.7,-0.43,0.19
2014,10940,"Alma, MI Micro Area",42057,39.0,41833,18922,16259,10941,3764,74.40,87300,586,32.5,-0.22,3.65
2013,10940,"Alma, MI Micro Area",42148,38.5,40359,18836,16268,11252,3535,76.09,86600,593,32.7,-0.45,0.34
2012,10940,"Alma, MI Micro Area",42340,38.5,40224,18992,16326,11357,3364,77.15,88200,602,33.6,-0.36,0.90
2011,10940,"Alma, MI Micro Area",42495,38.6,39867,18936,16353,11484,3233,78.03,90300,592,31.8,-0.27,-0.62
2010,10940,"Alma, MI Micro Area",42612,38.0,40114,18388,16321,11519,3199,78.26,93600,596,33.9,,
2023,10980,"Alpena, MI Micro Area",28908,47.6,51909,33093,15674,10114,2620,79.43,137800,660,28.8,-0.01,5.65
2022,10980,"Alpena, MI Micro Area",28911,47.6,49133,30893,15685,10056,2665,79.05,128000,638,28.6,-0.01,9.52
2021,10980,"Alpena, MI Micro Area",28913,48.1,44864,27651,15682,9880,2704,78.51,111200,606,28.1,1.70,5.31
2020,10980,"Alpena, MI Micro Area",28431,48.1,42603,25989,16057,10015,2754,78.43,104900,580,28.4,-0.31,-1.75
2019,10980,"Alpena, MI Micro Area",28520,48.1,43363,25957,16056,9940,2812,77.95,96500,596,27.3,-0.32,3.27
2018,10980,"Alpena, MI Micro Area",28612,47.8,41991,25115,16044,9859,2858,77.53,95600,573,27.8,-0.41,2.53
2017,10980,"Alpena, MI Micro Area",28730,47.6,40954,24030,16031,9851,2938,77.03,94000,568,28.4,-0.69,2.82
2016,10980,"Alpena, MI Micro Area",28929,47.3,39832,22776,15973,9742,2928,76.89,92700,570,30.6,-0.48,2.58
2015,10980,"Alpena, MI Micro Area",29068,47.1,38829,22082,15983,9693,3029,76.19,93300,564,29.6,-0.60,1.24
2014,10980,"Alpena, MI Micro Area",29242,46.6,38353,21975,15989,9960,2900,77.45,94900,550,29.8,-0.53,0.89
2013,10980,"Alpena, MI Micro Area",29399,46.4,38016,21948,15988,10009,2890,77.60,96400,545,31.1,-0.69,-2.27
2012,10980,"Alpena, MI Micro Area",29602,45.8,38900,22414,16020,10338,2760,78.93,101600,525,31.8,-0.65,2.15
2011,10980,"Alpena, MI Micro Area",29797,45.1,38081,21867,16016,10521,2713,79.50,102800,505,32.1,-0.54,3.78
2010,10980,"Alpena, MI Micro Area",29958,44.7,36695,21140,15985,10762,2595,80.57,104800,479,33.4,,
2023,11020,"Altoona, PA Metro Area",121854,42.9,60594,34593,55788,36621,13927,72.45,156700,854,29.5,-0.64,2.03
2022,11020,"Altoona, PA Metro Area",122640,42.9,59386,33585,55808,36671,13916,72.49,149300,838,29.8,-0.40,9.23
2021,11020,"Altoona, PA Metro Area",123132,43.4,54368,30791,55798,36071,14193,71.76,133800,757,30.4,0.52,6.91
2020,11020,"Altoona, PA Metro Area",122495,43.6,50856,29336,56960,36288,15359,70.26,128200,741,29.6,-0.54,3.41
2019,11020,"Altoona, PA Metro Area",123157,43.4,49181,28119,56847,36377,15749,69.79,123600,722,29.8,-0.55,2.53
2018,11020,"Altoona, PA Metro Area",123842,43.4,47969,26648,56767,36221,15404,70.16,120300,711,29.6,-0.72,5.05
2017,11020,"Altoona, PA Metro Area",124736,43.1,45664,25531,56646,36185,15453,70.07,117300,676,29.5,-0.94,3.70
2016,11020,"Altoona, PA Metro Area",125917,43.1,44033,24466,56059,36009,14945,70.67,112600,658,29.5,-0.42,0.12
2015,11020,"Altoona, PA Metro Area",126448,42.8,43981,23865,56109,36617,14417,71.75,110600,638,29.4,-0.21,0.25
2014,11020,"Altoona, PA Metro Area",126708,42.6,43871,23785,56211,36708,14240,72.05,108500,630,28.9,-0.18,2.04
2013,11020,"Altoona, PA Metro Area",126940,42.4,42992,23875,56122,37232,14201,72.39,106500,615,29.0,-0.15,0.71
2012,11020,"Altoona, PA Metro Area",127133,42.1,42687,23586,56262,37206,14284,72.26,103700,597,29.2,0.03,-1.29
2011,11020,"Altoona, PA Metro Area",127090,42.0,43243,23561,56263,37436,14335,72.31,101500,587,28.8,0.01,2.08
2010,11020,"Altoona, PA Metro Area",127071,41.7,42363,22880,56241,37686,13965,72.96,97400,557,29.0,,
2023,11060,"Altus, OK Micro Area",24730,35.0,61497,32371,12046,5992,3786,61.28,145000,865,23.7,-0.19,0.89
2022,11060,"Altus, OK Micro Area",24776,34.7,60954,31421,12041,5972,3863,60.72,115200,842,23.0,-0.74,9.73
2021,11060,"Altus, OK Micro Area",24960,34.7,55551,28091,12050,5932,3739,61.34,105200,792,23.4,0.61,5.74
2020,11060,"Altus, OK Micro Area",24808,34.4,52535,26511,12136,5930,3751,61.25,99700,722,24.6,-1.02,5.70
2019,11060,"Altus, OK Micro Area",25063,34.1,49703,25555,12116,5710,4052,58.49,106500,737,25.7,-1.26,8.62
2018,11060,"Altus, OK Micro Area",25384,34.2,45757,23226,12142,5607,4261,56.82,99000,725,27.3,-0.74,1.26
2017,11060,"Altus, OK Micro Area",25574,34.2,45189,22988,12139,5710,4248,57.34,97800,698,27.7,-1.12,1.94
2016,11060,"Altus, OK Micro Area",25864,34.3,44331,23616,12135,5965,4186,58.76,89100,688,25.2,-0.74,6.67
2015,11060,"Altus, OK Micro Area",26056,34.1,41560,21923,12145,5999,4221,58.70,90300,708,26.7,-0.83,-1.12
2014,11060,"Altus, OK Micro Area",26275,34.0,42029,22569,12106,6165,4242,59.24,88100,685,26.2,-0.02,-1.86
2013,11060,"Altus, OK Micro Area",26280,34.0,42824,22925,12083,6459,3996,61.78,87400,673,25.8,0.02,3.03
2012,11060,"Altus, OK Micro Area",26275,34.3,41563,22213,12094,6510,3968,62.13,85500,635,26.4,-0.14,0.42
2011,11060,"Altus, OK Micro Area",26311,34.4,41391,21248,12095,6629,3841,63.31,87600,624,27.8,-0.28,-0.11
2010,11060,"Altus, OK Micro Area",26386,34.3,41437,21249,12121,6444,3940,62.06,85100,608,26.7,,
2023,11100,"Amarillo, TX Metro Area",270207,36.3,66571,35425,114741,65087,36721,63.93,196500,1044,27.8,0.34,3.78
2022,11100,"Amarillo, TX Metro Area",269278,35.8,64147,33920,113931,65091,36333,64.18,180600,997,27.7,0.36,8.95
2021,11100,"Amarillo, TX Metro Area",268306,35.5,58878,31053,113037,64459,36762,63.68,156400,928,27.4,1.50,5.04
2020,11100,"Amarillo, TX Metro Area",264345,35.2,56055,29417,109725,61941,35806,63.37,147600,878,27.7,0.22,0.97
2019,11100,"Amarillo, TX Metro Area",263776,35.1,55515,28901,109130,62393,34952,64.09,140500,853,28.4,0.14,1.10
2018,11100,"Amarillo, TX Metro Area",263412,34.9,54912,28397,108469,61727,34886,63.89,135500,838,28.0,0.61,2.32
2017,11100,"Amarillo, TX Metro Area",261827,34.7,53665,27740,107799,62155,33991,64.65,129900,816,28.0,0.51,3.86
2016,11100,"Amarillo, TX Metro Area",260495,34.5,51672,26379,106902,61326,34363,64.09,125500,787,28.1,0.49,2.56
2015,11100,"Amarillo, TX Metro Area",259216,34.4,50383,25549,106084,61588,34056,64.39,122200,766,29.3,0.85,1.67
2014,11100,"Amarillo, TX Metro Area",257038,34.3,49553,25274,105230,61670,33906,64.52,118500,749,28.9,0.96,2.92
2013,11100,"Amarillo, TX Metro Area",254583,34.4,48146,24577,104315,61368,33195,64.90,116800,725,29.6,1.74,0.58
2012,11100,"Amarillo, TX Metro Area",250224,34.3,47866,24210,102624,60430,32317,65.16,113600,708,30.2,0.98,1.34
2011,11100,"Amarillo, TX Metro Area",247803,34.2,47234,24272,101779,59876,31650,65.42,111700,691,30.3,1.07,1.83
2010,11100,"Amarillo, TX Metro Area",245177,34.3,46384,23666,100834,59503,31058,65.70,107800,671,29.5,,
2023,11140,"Americus, GA Micro Area",33713,37.8,42821,25212,15484,7249,5226,58.11,126500,841,29.6,-0.68,7.41
2022,11140,"Americus, GA Micro Area",33943,37.2,39867,23940,15443,7213,5004,59.04,134200,811,30.5,-1.08,5.84
2021,11140,"Americus, GA Micro Area",34312,37.3,37669,21658,15501,7557,4868,60.82,119400,763,31.5,-1.77,-3.58
2020,11140,"Americus, GA Micro Area",34929,36.1,39068,21917,16120,8023,5257,60.41,125400,710,29.7,-1.01,2.39
2019,11140,"Americus, GA Micro Area",35285,36.0,38156,20700,16097,7722,5652,57.74,99800,731,31.7,-0.78,3.66
2018,11140,"Americus, GA Micro Area",35563,35.8,36809,20249,16090,7870,5765,57.72,93300,685,31.6,-0.81,4.60
2017,11140,"Americus, GA Micro Area",35855,35.4,35189,18926,16084,7894,5902,57.22,84700,676,35.1,-0.84,0.10
2016,11140,"Americus, GA Micro Area",36159,35.5,35153,18869,16016,7788,5805,57.29,88400,645,33.7,-0.94,4.01
2015,11140,"Americus, GA Micro Area",36503,35.1,33798,17745,16033,7863,5419,59.20,85800,636,32.0,-0.96,-1.79
2014,11140,"Americus, GA Micro Area",36858,35.1,34415,18224,16201,8146,5395,60.16,86000,611,29.4,-0.70,-0.18
2013,11140,"Americus, GA Micro Area",37116,35.0,34477,18036,16049,7863,5459,59.02,90700,606,28.7,-0.73,0.80
2012,11140,"Americus, GA Micro Area",37388,34.6,34205,18099,16090,8050,5252,60.52,89300,588,28.2,-0.85,-0.75
2011,11140,"Americus, GA Micro Area",37710,34.6,34465,18167,16145,8366,4850,63.30,88700,577,28.4,0.24,4.84
2010,11140,"Americus, GA Micro Area",37620,34.2,32873,17270,16161,8377,4821,63.47,86900,565,29.2,,
2023,11180,"Ames, IA Metro Area",125261,30.0,71090,38602,53647,30531,19112,61.50,231600,1002,29.7,-0.01,4.38
2022,11180,"Ames, IA Metro Area",125273,29.6,68107,36295,53297,30071,19234,60.99,216000,981,29.7,0.36,6.73
2021,11180,"Ames, IA Metro Area",124827,29.8,63814,33839,52780,29700,18964,61.03,190800,933,30.0,0.88,5.58
2020,11180,"Ames, IA Metro Area",123736,29.5,60442,31672,52680,29147,19651,59.73,179700,909,31.5,0.34,3.14
2019,11180,"Ames, IA Metro Area",123311,29.2,58600,30255,51925,28793,19972,59.04,170600,892,31.7,27.23,7.42
2018,11180,"Ames, IA Metro Area",96922,26.3,54554,28034,39390,19638,17581,52.76,180400,885,34.5,1.08,3.58
2017,11180,"Ames, IA Metro Area",95888,25.9,52671,27392,38783,19135,17971,51.57,172900,857,35.4,1.11,2.87
2016,11180,"Ames, IA Metro Area",94834,25.8,51201,26032,38168,19333,17211,52.90,167800,814,36.1,1.33,1.51
2015,11180,"Ames, IA Metro Area",93586,25.9,50438,25589,37688,19186,16715,53.44,166000,772,35.2,1.79,-1.62
2014,11180,"Ames, IA Metro Area",91939,26.5,51270,26113,37350,19202,16464,53.84,164200,760,35.1,1.31,1.49
2013,11180,"Ames, IA Metro Area",90750,26.5,50516,25986,36976,19372,15824,55.04,162200,738,34.6,1.13,1.68
2012,11180,"Ames, IA Metro Area",89734,26.5,49683,25856,36741,19278,15605,55.26,160700,721,34.0,1.31,-0.10
2011,11180,"Ames, IA Metro Area",88577,26.5,49733,26265,36444,19000,15613,54.89,159900,714,32.8,1.12,3.08
2010,11180,"Ames, IA Metro Area",87594,26.4,48248,25450,36031,18743,15484,54.76,156000,703,33.1,,
2023,11200,"Amherst Town-Northampton, MA Metro Area",156595,38.7,86391,45006,66490,42489,19281,68.79,363400,1332,31.4,,
2023,11220,"Amsterdam, NY Micro Area",49461,40.1,62923,31975,22944,13336,5898,69.34,141600,921,30.0,-0.33,8.43
2022,11220,"Amsterdam, NY Micro Area",49624,40.6,58033,29961,22924,13001,5917,68.72,132300,867,31.2,0.17,8.41
2021,11220,"Amsterdam, NY Micro Area",49539,40.5,53533,27871,22905,13165,5742,69.63,113500,793,31.4,0.50,6.75
2020,11220,"Amsterdam, NY Micro Area",49294,40.9,50146,27346,23529,13241,6380,67.48,110700,759,31.6,-0.02,1.38
2019,11220,"Amsterdam, NY Micro Area",49302,41.0,49462,26521,23496,13455,6205,68.44,105400,783,32.3,-0.25,7.91
2018,11220,"Amsterdam, NY Micro Area",49426,41.4,45837,25427,23493,13375,6290,68.01,101000,749,32.7,-0.15,-3.40
2017,11220,"Amsterdam, NY Micro Area",49500,41.1,47449,25307,23480,13565,6135,68.86,99900,732,31.8,-0.34,6.73
2016,11220,"Amsterdam, NY Micro Area",49667,41.3,44455,23885,23208,13040,6500,66.73,99100,721,31.3,-0.22,1.58
2015,11220,"Amsterdam, NY Micro Area",49779,41.0,43764,23554,23184,13109,6430,67.09,101600,702,31.5,-0.34,-0.91
2014,11220,"Amsterdam, NY Micro Area",49951,41.0,44167,23809,23159,13231,6424,67.32,101100,702,30.7,-0.14,0.02
2013,11220,"Amsterdam, NY Micro Area",50019,41.0,44156,23417,23087,13317,6386,67.59,101200,705,30.6,-0.01,3.10
